,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
BabiesBornWithDiseases,0.354881743718522,0.5077709342578336,0.5098782508431552,0.7266351932553412,0.7335840266247508,0.7434265400590363,0.7565085837596365,1.0331552782586668,1.0331556819637697,1.0332732553183424,1.0333333333333325
Gynaecologist,0.9247860241482749,0.9294692039176691,0.9432165702262406,0.9481731510381256,0.9483015394827925,0.9799337973375902,0.9940491141136545,1.0007926508625016,1.0099572592855852,1.0320905742781117,1.0333333333333332
FertilityRate,0.0011025353891589715,0.10306144950833303,0.2914972697048506,0.8433647699904303,0.8817342197597349,0.9771182911984978,0.9774872813322276,1.0325786208067693,1.032709260230089,1.0333323108840984,1.033333333333333
BirthsWithLowerEd,0.1717483245846818,0.693577730542012,0.7527550149343304,0.8321602835564549,0.8329129607457078,0.9005566399680771,1.0211488430799667,1.023890074823087,1.0288567569485803,1.0303675576742637,1.0333333333333332
BirthsLower2kg,0.8748918311033024,0.9703105758099868,0.9723990961573391,0.9772031320114168,0.9780796080392575,0.9836374413738271,1.0131748680713617,1.0137104622350455,1.017803509356775,1.023601670202807,1.0333333333333348
BirthsBeforeTerm,0.042442601751187775,0.1863107188203122,0.7322232627642067,0.7565384969716757,0.7583383008532103,0.7983425255637157,1.0318988938377,1.0328890958857537,1.0333319159374648,1.0333319832799235,1.0333333333333337
AtRiskOfPoverty,0.9039809668704896,0.9097723237475355,0.9265513982130519,0.9304084251177989,0.9317704872901361,0.9420249368455836,0.9440810485486518,0.9559530177919473,1.0297930088487304,1.0297963959922345,1.033333333333334
Smoking,0.012361448313583375,0.13219092363002355,0.6396550737373432,0.7932204909134412,0.8185131515397784,0.8636986136200013,0.9484488310097541,1.0324598504333435,1.0332783645582333,1.0332830880104216,1.0333333333333332
AlcoholConsumption,0.06167657533852696,0.5023946783045622,0.507179616800692,0.5641768121155823,0.7017331510988629,1.0030443702633405,1.0036250883793991,1.0319761503796654,1.0333112992850968,1.0333332748532866,1.0333333333333325
NoBeds,0.872223290895343,0.8739454632458926,0.9138075797674652,0.9169680636988209,0.9320526176684073,0.9503343654603997,0.9741499273384323,0.97970279963141,1.0209888060114136,1.0313033737823605,1.033333333333335
GreenhouseEmission,0.006995470987096205,0.2667814551463543,0.34118428359576136,0.36619562052728954,1.0062526177785158,1.0316706457493037,1.032566738887181,1.032870331466087,1.0331960064502368,1.033332136228794,1.033333333333332
