,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Belgium,0.0007717103326836877,0.022114484298370395,0.001114654135594634,0.0012373113985520618,0.03559529122676504,0.08974083622519773,0.004412428697936223,0.046669844209139694,0.02533173070615383,0.017550698600364883,0.0003344397660301638
Bulgaria,0.0026937823296570075,0.005386239819413821,0.012066332045845427,0.00803572013428718,0.0010718883340043125,0.0013503530169863883,0.04676587385089274,0.05775975916961211,0.008988374056575522,0.016803441652044632,0.09920001962583805
Czechia,0.003337857096258701,0.0032806526656487933,0.008752965102181733,0.029542833408014404,0.00058324136392391,0.003511627416656912,0.0007624832852730932,0.03723244399965385,0.012162263264488037,0.10323507935176057,0.08341787022190339
Denmark,0.004778749551804677,0.0030372917980013834,0.02586893135669058,1.0704153386289056e-06,0.00034470764370348443,0.11067708384173602,0.0038447507869448267,0.033327635983108235,0.03541409026854902,0.03153495751518259,0.0057836609058017525
Germany,0.3926691147917156,0.016980072271903634,0.057861201406318466,0.011904516940344056,2.8405098448356063e-06,0.051614312952773946,0.05933130859615332,0.01029669261797532,0.22023058051817757,0.011649599959871321,0.00395204924678165
Estonia,0.015094602882367232,0.00857421684861484,0.0005941017875194414,0.004950820279779895,0.002681001696836928,0.01944087198268524,0.000386706192451993,0.00477755930262812,0.008800146203729542,0.005405345326186896,0.020159201587197643
Ireland,0.014252498318542601,0.011930581088417613,0.01117117232224142,0.007176683243435988,0.0011625204581650708,0.0024711972889274983,0.00048530971593153,0.00043343478885703575,0.003036780654245345,0.0024592491859036533,0.007736552634391238
Greece,0.001484300189313877,0.009389910140888517,0.02807217582237112,6.671185755321654e-06,0.00041081240699481045,0.05498766912446911,0.03670971341578216,0.028682894387538016,0.003590372295733623,0.04393122488462988,0.00017635002635707676
Spain,0.03191894424641801,0.058356507559755834,0.01859218096161044,0.048110135359871235,0.016726263396921903,0.010591303418560662,0.0015786417805575856,0.001361937587303575,0.16200832242585791,0.05716233463135248,0.12789489518027117
France,0.13301973796008312,0.011365307187060799,0.0014187781503683192,0.21870517029164813,0.0038183542287738115,0.017326735985190498,0.0273392208261511,0.004985829518500102,0.18623958832863155,0.09461986473394547,0.10564404377979833
Croatia,0.0003718712041336894,0.052074344347917995,0.031976585661273565,0.0694610019151337,0.0005796680717681563,0.000900302653308164,0.08579112097637283,0.1588497755016105,0.005329253203109302,0.038410159761031744,0.037735553541517364
Italy,0.06157445856401578,0.031610903526396256,0.006019254484510807,0.147437070668861,0.00975788040930798,0.006934873827514026,0.02715519989690465,0.05021536356938964,0.10551905875204769,0.1591150661611076,0.0030046501442275303
Cyprus,0.01073775020831931,0.00021909499377732977,0.0024858746738123227,0.00017239956866430735,0.0008490890789187108,0.016544900152406398,0.0005240360226656778,0.14352258735679368,6.0389100493632324e-05,0.0006574597649281423,0.0004766374931504914
Latvia,0.01680127390721043,0.006211682803075138,0.005447811277020247,0.001248606853508308,0.01950309675778326,0.0017884701390749151,0.01628298612548925,0.00042084439929878395,0.0075237804066489115,0.014800559880820064,0.016324895754225136
Lithuania,0.017515569571363628,0.006438854227132655,0.013745411962312885,0.017084582855385336,0.04799872211346904,0.003919202305094559,0.01128550545387062,0.032082993909578666,0.008316090375281854,0.011137512951379772,0.025820482670297882
Luxembourg,0.017508972240401627,6.04391181695341e-08,0.0034351163805921023,0.031481230408933275,0.07248364622446253,0.0009140962567348535,0.006512161520867059,0.0040047927203112595,0.004758354146021866,0.015372390813217599,0.02287527439810348
Hungary,0.005158921905768415,0.0010384186390662731,0.013081032218482991,0.0117888765435211,0.004177952394802669,0.005984369369430879,0.031841733257060106,0.09768864493991311,0.003187466879980575,0.0002779688478431703,0.001535486627583749
Malta,0.014026771391739462,0.02181682336598593,0.033845038816542425,0.0705290814508492,0.00038189755076736674,0.033556728400782145,0.010050562889205934,0.023996614668892118,0.004456125026853449,0.02867098903708176,0.0023660092664840727
Netherlands,0.001941721032804273,0.003211188943223777,0.000378703478439325,0.0009822403121528323,0.012982565823438059,0.00908282446998205,0.00469211599643857,0.06493324807717137,5.519286556466843e-05,0.01901726922193667,0.05616391156214258
Austria,3.997409607925708e-06,0.0073817479236375026,0.42265057894755576,0.05152999958621245,0.009702272639312986,0.011613447311976647,0.3924315422708802,0.0007672272213026158,3.147152507665851e-05,0.00010663198078530786,0.00018392367207159996
Poland,0.009675426345998583,0.0008739409530590344,0.0002267167080699567,0.003165386547566425,0.0014486835071796757,0.13245219858598828,0.001882946532540995,0.008995660707100953,0.013417109008822087,0.08137133840921343,0.06618164226257037
Portugal,1.3339167002202517e-05,0.061829647953235416,0.007831596036506433,0.03333872930924529,0.020520478149452962,0.23273015539119182,0.0008835933893458944,0.055265810713435275,0.009027174038454981,0.005358281021339582,0.0002186090645554349
Romania,0.00031352308765876394,0.025213614800390083,0.06599741239673466,0.003216456948779667,0.12548837089999587,0.014270818740833502,0.016995511328810536,0.0010073237009973618,0.07063701690146446,0.00844725466644459,0.15309094245015611
Slovenia,0.008203047503785805,0.006586360178906827,1.4862902479118888e-05,0.019794674570779488,0.001956866083567673,0.007658706121060878,0.01642717013735117,0.021640554708588843,0.00012248321523530741,0.041103397847786494,0.0005650875879800755
Slovakia,0.013079320592153632,0.0014289396740295014,8.621016179541684e-06,0.0028013675109426718,0.027034029334475632,0.006961175340870837,0.0058951517799049604,0.010065995543774808,0.0003938374490735504,0.0002214264853014739,0.002203482415217038
Finland,0.012734869073022938,0.0004815254272647812,0.003081968609253882,0.02764646577760193,0.006271999525284898,0.008416403302895541,0.003474011657245534,0.05021403250073859,0.00342141626733935,1.4817107467481886e-05,0.034268259988715306
Sweden,0.0028648420016175024,0.004200043744363313,0.014540129479625748,7.389198032979977e-07,0.12044452356743145,0.012636164070087351,0.026719218484244127,0.0005664061606439839,0.0011837207706003943,0.017432953894493862,0.0016318733209622475
Iceland,0.020415981541589148,0.11925846649979642,0.10674620271006272,0.05316388092115272,0.389959332263002,0.03393549435501366,0.007740824946470171,0.005092718453254135,0.02193948786553672,2.364852743154496e-05,0.03970845610194383
Norway,0.0057763497241851095,0.0007329266383030911,0.0028772250926662308,0.003798825572745539,0.025006160896554167,0.0071981989212011035,0.006660430072372368,0.00347957827599501,0.0351269739603767,0.13814140743049982,0.045778610882077464
Serbia,0.00654959631627942,0.0010092061856772881,0.003927399661953424,0.010226488427524112,0.008614790085152025,0.00263331685343783,0.0009663384662398943,0.0030889413185868366,0.002479173834017797,0.0027105876001076185,0.003184799438984459
Türkiye,0.1424530349963705,0.46570888054143833,0.06391189987905459,0.07920289815748005,0.00018298884180988369,0.05589809766180301,0.11191333713151545,0.0063147894721795024,0.004954111169730942,0.0009990182324252374,0.00012426386653289595
