,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
BabiesBornWithDiseases,0.5957195176578672,-0.3910104736951576,0.045905518026938485,0.46557162973294025,0.08335966272370328,0.09920944226375596,-0.11437676206555303,0.5259721423222244,-0.0006353779213664582,0.010843124760536949,-0.007751000902474146
Gynaecologist,0.9616579559013043,-0.06843376191175027,-0.11724916335979356,-0.07040298865733578,0.011330862485570048,-0.17785459750818292,0.1188078986265821,-0.08211904011157946,-0.09573196134564321,0.1487726957224559,0.03525278790707961
FertilityRate,-0.033204448333905075,0.31931005953332264,-0.43409194901140197,0.7428778501783316,-0.19588121341594908,0.3088431178426401,-0.019209115901825665,-0.2347154436217221,0.011429760422669024,0.024960982633093085,-0.0010111623186665369
BirthsWithLowerEd,0.4144252943350367,0.7223776062125197,0.243263816446915,-0.28178940473716274,-0.02743496289869592,0.26008398494019075,-0.3472638810931675,0.05235677361259333,-0.07047469138274531,0.0388690201276476,-0.05445893553008121
BirthsLower2kg,0.9353565261991292,0.30889924685354025,0.04570033202671863,-0.06931115245094227,-0.02960533782682858,0.07455087749027274,-0.17186455916661386,-0.023142907416391703,0.0639769264792349,-0.07614565546393325,0.09864919224467934
BirthsBeforeTerm,0.2060160230447811,0.3792995083955744,0.73885894725847,0.15593342876839805,0.04242409552995265,0.20001056149740037,0.48327669949417623,0.03146747603564206,0.021043289945041475,-0.0002595042557636824,0.001161917987749102
AtRiskOfPoverty,0.950779136745485,-0.07610096502046439,-0.12953406681455054,-0.06210496682832201,0.03690612648785027,-0.1012642560603074,0.04534436793106963,-0.10895856663565062,0.2717351487327009,0.0018404193826678265,-0.05947215601522748
Smoking,0.11118205032100899,-0.34616394283119695,0.7123651803024342,0.39187423642808916,0.15903666440898864,-0.21256872319375422,-0.291118905929781,-0.28984654461212656,-0.028609685857934157,-0.002173350452242434,-0.007088393535320058
AlcoholConsumption,0.2483476904231786,-0.6638660278746271,-0.06917324985953655,-0.23874085388741145,0.3708858840442442,0.5489182263001271,0.02409809361876185,-0.16837773605873868,-0.036539689454502894,-0.004687810596627662,0.0002418264789320987
NoBeds,0.9339289538799742,-0.04149906445390865,-0.19965499373061657,0.05621818150167904,-0.12281919218748501,-0.13521001365280763,0.1543229142999593,-0.07451759720346408,-0.2031895823609162,-0.10156066054800389,-0.045055072422254615
GreenhouseEmission,-0.08363893224507475,0.5096920483578865,-0.27276881868975983,0.1581497294702971,0.8000356224889154,-0.1594303232474547,0.029934814812811468,0.017423908255781818,-0.01804646735928918,-0.01166746667263826,-0.0010941227253765278
