,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Belgium,-0.31800122544970205,-1.1257147414309048,-0.22420581945877907,-0.207700779535653,0.9788002607969746,1.3452553348626621,-0.2675569567049539,-0.8270956182270276,-0.32728499372536496,-0.14874136853155848,-0.01426267158419214
Bulgaria,-0.5941319202700064,-0.5555623269748751,0.73767395677099,0.5293111237797552,-0.16985274630975114,-0.1650187627089054,-0.8710476715064001,-0.9201322047707672,-0.19495493380394208,0.14554044219120968,-0.24563927433315513
Czechia,-0.6613563162759741,0.4335808290299585,-0.6282817048531779,1.0149033647753931,0.12529160123568586,0.26611164676558274,-0.1112224765428353,-0.7387514000447291,-0.22677796912389953,0.36074325275728164,0.22525346246664396
Denmark,-0.7913320783241015,-0.41718934098442356,-1.0801052058208411,-0.006109065498783537,0.09632150462397973,1.493958456059171,0.24975344904705002,-0.6989398444733808,-0.3869739288035647,-0.1993795879235347,-0.059312105055924894
Germany,7.173234154790379,-0.9864151012836577,-1.6153645153358922,0.6442501202580747,-0.008743714137033957,-1.0202221361150223,0.9811137466631155,0.3884958809589538,-0.9650114660034411,0.12118254667891899,-0.04902900735153128
Estonia,-1.40641173641112,0.7009502204228475,-0.1636843825872305,0.4154676373055516,-0.2686249487020101,-0.6261343603452125,-0.07920780175406215,-0.2646309206647779,-0.19290283286406332,-0.08254604905232464,-0.11073338869957132
Ireland,-1.3666179955961155,0.8268386011982217,-0.7097839761283796,0.5002193743990424,0.17688789074657563,-0.2232355601386766,-0.08873335249761984,-0.07970754400083181,0.11331838432735039,0.05567828338541317,0.06859866578588696
Greece,-0.44102428790042514,-0.7335347003693157,1.1251614724044732,-0.01525106374690816,0.1051524937764638,-1.0530338268030126,-0.7717344620704505,-0.6484089956472444,-0.12321494962507201,0.2353267110657132,-0.01035689780979881
Spain,2.0451534308272774,-1.8286668481061474,0.9156763216337706,-1.2951405737058892,0.6709609839856895,-0.46215150523927984,-0.16003655482808637,-0.1412915363153583,0.8276797392500146,-0.2684352516285627,-0.2789128554025394
France,4.175030764084715,-0.807013006886396,-0.25294963720017594,2.7613925234340937,-0.32057961932024864,0.591109645316359,-0.6659942255534282,0.2703374772538853,0.8874209214737555,-0.3453629381376382,0.253492103332894
Croatia,-0.22074857614523904,-1.727435539998877,1.20086132969936,1.5562133667800395,0.12490720520480082,0.13474229245325642,-1.1797733142415674,1.5259167740708814,-0.1501159500695679,0.22004303463809735,-0.15150162433986153
Italy,2.840546720553034,-1.3458863850677079,-0.5210125295668773,-2.2672633428407565,0.5124783779445313,-0.3739632702363688,0.6637490297713693,-0.8579378934026678,0.6679733195204604,0.4478578808655602,0.04275027198275126
Cyprus,-1.1862009960489317,-0.11204853232912321,0.334823883978036,-0.07752945071397782,0.15117306856290086,-0.5776193616506407,-0.09220574222151094,1.4504329992627738,0.01597985897008204,0.02878850809252392,0.017026917334778152
Latvia,-1.483791032466502,0.596615566433178,0.49566453061691357,0.20864667915155125,-0.7245186826907678,-0.1899111718782496,0.5139778739662799,-0.07854134250576135,0.1783658539871195,0.13659148955819408,0.09964766695061239
Lithuania,-1.5150039603450431,0.6074272088810581,-0.7873279975887207,-0.7717929537679437,-1.1366130516646804,-0.2811308514321739,0.42789568275731804,0.6857644836749621,0.18752244718214847,0.11848917618456024,0.1253210730659018
Luxembourg,-1.5147186163875623,-0.0018610112768708879,-0.3935931602284157,-1.047669904705473,1.396747224834674,0.1357705671621744,0.32504237238646155,0.2422855792597842,-0.1418476165019703,-0.1392051419344593,0.11795737053257241
Hungary,-0.8222068919649238,-0.243936159811119,0.7680647303860728,0.6411133634101722,-0.3353355097645476,-0.34739123983641595,-0.7187465070925273,-1.1966291750637659,-0.11609579829817515,0.01871899948889527,-0.030560815990917468
Malta,-1.3557527544179355,-1.1181130154237324,1.2354475808227063,-1.568132419480338,0.1013844238983518,-0.8226203964107871,-0.40380583473009535,0.5930789818827692,-0.13726896068603617,-0.1901104134226155,0.03793587863963686
Netherlands,-0.5044232006167829,-0.42896600380236205,-0.13068521664275956,-0.1850578433537127,0.5911232859739631,0.42797670189136616,-0.2759063953061072,-0.9755984648532047,0.01527689638935193,-0.1548312593799693,0.18482920695447225
Austria,0.022887110265948675,0.6503835533494381,4.365837321858579,1.3403823149193113,0.5110160472365698,0.4839385779123529,2.5232445901840626,-0.10604728299878549,0.011535928515346178,0.011593866820527564,-0.010576957060524498
Poland,1.1259955952044989,0.22378500908988985,0.10111569670029844,-0.33220946039160165,-0.1974624672186761,-1.6343281184251126,-0.17478187390428762,-0.363123267578131,-0.23818978690995474,-0.320272978469467,0.20063684804961782
Portugal,-0.04180863522015507,-1.8822977886656576,-0.5942948325155708,-1.078134990239916,0.7431757655690501,2.166386779502497,0.11973017746527283,0.9000483023203807,-0.1953752602335829,0.08218589944059312,0.011531239957586927
Romania,0.20269190282212035,1.2020083981461207,-1.7252032561494204,0.3348786737719467,-1.837805478327374,0.5364560061180236,0.5251030186161442,-0.1215128118420826,0.54652475321255,0.10319112867254132,-0.3051523191995583
Slovenia,-1.0367862986281178,-0.6143455028763943,0.025889796046134318,0.8307546918645642,-0.22949770885001153,0.39299531180562197,-0.516248466733838,0.5632117916968022,-0.022757887743958906,0.22762682002892276,0.018539576562846702
Slovakia,-1.3091645249613264,0.2861520703189246,-0.01971769048801267,0.31252420810054987,-0.8530081713538977,-0.3746717540466503,-0.30926081267996747,-0.38411910771964786,0.040808644234179514,0.016707033838223848,0.03660974645871795
Finland,-1.2918107020778498,0.1661114456266609,-0.37281289075966534,-0.9817896057623756,-0.41086657288012834,-0.4119769670494359,0.237406733694328,0.8579265225619428,0.1202808863401933,-0.004321816113082835,0.1443736556476119
Sweden,-0.6127057748109164,0.49058792211444746,-0.8097686367040803,0.005075715514151776,-1.8004925560642742,0.5047976158489191,0.6583991671296612,-0.09111744402611642,-0.07074867258269654,-0.14824158838501383,-0.031505410878076665
