,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Belgium,0.019771612724831876,0.24776571762415964,0.009828296952313196,0.008434527548127305,0.18731504491554649,0.3538294309556581,0.013996421184970284,0.133750664405813,0.020942893972378602,0.004325616906498598,3.9772809702828045e-05
Bulgaria,0.10804956590688669,0.09447629015060237,0.16656592350035518,0.08575891874700274,0.008830847830344853,0.008335351289849769,0.23224218187342602,0.259153881188881,0.0116339104283791,0.006483725723106569,0.01846940336116555
Czechia,0.14942892460525548,0.06422495410391517,0.13485668717163715,0.3518949581511706,0.005362997307188868,0.024193094661510144,0.004226187702068376,0.1864491009754504,0.01756974195723891,0.044459041307811704,0.017334312056753245
Denmark,0.12645474273959778,0.03514665414671096,0.23558611949287597,7.536455568257981e-06,0.0018735448595319248,0.45070733054719614,0.01259622962413716,0.09865002011571189,0.030239944766058808,0.008027475120883995,0.0007104021317269059
Germany,0.8787432543051507,0.016616953843810827,0.044562861046800226,0.007088282297303345,1.3056413321734353e-06,0.017775485585340693,0.016438822660151932,0.002577536511485776,0.015903654632093887,0.00025079111074488895,4.105236578549144e-05
Estonia,0.6057199859278662,0.15046008162196786,0.008204675875116335,0.05285929180223842,0.022097321322590794,0.12005548710794946,0.0019212454891376245,0.02144510195159341,0.011395257692775565,0.00208660153347102,0.003754949675293394
Ireland,0.5458847765861119,0.1998242537781764,0.1472512851676952,0.07313541499951076,0.00914540450592645,0.014565770584853902,0.0023013384473221715,0.0018569729083381412,0.003753249714541578,0.0009061047077515915,0.0013754285997718383
Greece,0.046250526000676105,0.12794784866704795,0.30103803248652444,5.530850686147925e-05,0.0026292435369760967,0.2636794633500862,0.1416209325997733,0.09997461128052067,0.0036100936578346322,0.013168433403427465,2.550651027185618e-05
Spain,0.3609849412844505,0.28860674622036775,0.07236378309777185,0.1447675129035792,0.03885365048836475,0.018433425118082183,0.002210424483957638,0.0017229377638076876,0.05912374616534658,0.006218940349290719,0.006713892124981109
France,0.6290174218926036,0.023501976258394373,0.002308933559087043,0.2751690621371338,0.003708643876026351,0.012608964040739466,0.01600605267035856,0.0026372774887698674,0.028418597485966805,0.004304223111229876,0.002318847479690319
Croatia,0.004535302769282347,0.2777244811301721,0.13421349407562427,0.22539731883658423,0.0014520629535142973,0.0016897339389141922,0.12954110581905176,0.21670660951655082,0.00209731731130973,0.004506358249275968,0.0021362153997203166
Italy,0.460549175081176,0.10339247576586073,0.015494175476839508,0.29341078133359894,0.014990745410071374,0.007982336522235694,0.025146638213713043,0.04201301367333767,0.0254677376348593,0.011448605134836998,0.00010431575347068227
Cyprus,0.3510770368425423,0.0031325513583394687,0.027971690568687965,0.0014997513776516948,0.005702098466948726,0.08324714343052533,0.0021212985329828733,0.5249055918640028,6.371354059136801e-05,0.00020678744795249115,7.233656977479677e-05
